citric acid,density,pH,alcohol,Quality
0.36,1.001,3,8.8,1
0.34,0.994,3.3,9.5,1
0.4,0.9951,3.26,10.1,1
0.32,0.9956,3.19,9.9,1
0.32,0.9956,3.19,9.9,1
0.4,0.9951,3.26,10.1,1
0.16,0.9949,3.18,9.6,1
0.36,1.001,3,8.8,1
0.34,0.994,3.3,9.5,1
0.43,0.9938,3.22,11,1
0.41,0.9908,2.99,12,0
0.4,0.9947,3.14,9.7,0
0.37,0.992,3.18,10.8,0
0.4,0.9912,3.54,12.4,1
0.62,1.0002,2.98,9.7,0
0.38,0.9914,3.25,11.4,1
0.04,0.9928,3.24,9.6,1
0.48,0.9892,3.33,12.8,1
0.42,0.9917,3.12,11.3,1
0.14,0.9955,3.22,9.5,0
0.48,0.9892,3.33,12.8,1
0.38,0.9912,3.17,11,1
0.42,0.993,3.47,10.5,1
0.14,0.9937,3.05,9.3,0
0.41,0.9951,3.42,10,1
0.32,0.9955,3.25,10.4,1
0.35,0.993,3.45,10,1
0.39,0.9961,3.38,10.5,1
0.48,0.9914,3.19,11.6,1
0.36,0.9906,3.1,12.3,1
0.39,0.9974,3.2,10,1
0.34,0.9934,3.47,10.2,1
0.36,0.992,3.19,10.8,1
0.34,0.9939,3.42,9,1
0.2,0.9962,3.37,10.2,0
0.43,0.9905,3.19,12.8,0
0.23,0.9934,3.24,10,0
0.32,0.9906,3.13,11.2,1
0.39,0.9999,3.21,8.6,0
0.39,0.9999,3.21,8.6,0
0.39,0.9937,3.11,9.4,1
0.39,0.9937,3.1,9.4,1
0.26,0.9954,3.13,9.8,1
0.27,0.9934,3.22,9.5,1
0.26,0.9934,3.24,9.5,1
0.31,0.9931,3.16,10,1
0.26,0.994,3.27,9.8,0
0.25,0.9939,3.25,9.8,0
0.26,0.9954,3.13,9.8,1
0.35,0.995,3.36,9.8,0
0.31,0.9917,3.35,11.7,1
0.29,0.9914,3.34,11,1
0.33,0.991,3.32,10.9,1
0.35,0.9911,3.31,10.9,1
0.59,0.993,,9.1,1
0.35,0.9908,3.13,11,1
0.34,0.9962,3.09,9.6,1
0.26,0.9972,3.3,8.9,1
0.15,0.9931,3.11,10.2,1
0.36,0.9926,3.36,9.9,1
0.24,0.9951,3.03,8.6,1
0.26,0.9972,3.3,8.9,1
0.07,0.991,3.02,10.5,0
0.15,0.9931,3.11,10.2,1
0.27,0.9927,3.15,10.3,1
0.03,0.9934,3.22,9.1,0
0.24,0.9903,3.22,12.6,1
0.13,0.992,3.14,9.8,0
0.31,0.9926,3.33,10.7,1
0.29,0.9962,3.13,9.5,0
0.43,0.9956,3.1,9,1
0.23,0.9958,3.32,9.5,0
0.28,0.9964,3.69,10,0
0.46,0.9941,2.95,9.1,1
0.31,0.9926,3.33,10.7,1
0.29,0.9962,3.13,9.5,0
0.36,0.9898,3.26,12.7,1
0.34,0.9912,3.31,12,1
0.3,0.9961,2.94,9.3,0
0.28,0.9949,3.27,9,0
0.31,0.9929,3.39,10.6,1
0.34,0.9985,3.21,9.2,1
0.2,0.9946,3.17,10,0
0.3,0.9966,3.33,9.5,1
0.61,0.9974,3.11,8.7,0
0.62,0.9975,3.12,8.7,1
0.63,0.9974,3.09,8.7,1
0.31,0.9972,3.22,9.7,1
0.61,0.9974,3.11,8.7,0
0.62,0.9975,3.12,8.7,1
0.63,0.9974,3.09,8.7,1
0.43,0.9957,3.12,9,0
0.33,0.99,3.26,12.6,1
0.33,0.9899,3.25,12.6,1
0.32,0.9916,3.21,11.5,1
0.29,0.9969,3.04,9.2,1
0.66,0.9979,3.14,8.8,1
0.36,0.9913,2.95,11.4,1
0.46,0.9956,2.89,10.1,0
0.66,0.9979,3.14,8.8,1
0.37,0.9975,3,9.1,0
0.32,0.9962,3.4,9.4,0
0.24,0.997,3.34,9.4,0
0.4,1,2.99,9,0
0.37,0.9975,3,9.1,0
0.32,0.9974,3.2,9.2,1
0.32,0.9962,3.4,9.4,0
0.35,0.999,3.16,9.1,1
0.35,0.999,3.16,9.1,1
0.28,0.9927,3.27,10.3,0
0.54,0.9959,2.89,8.8,1
0.46,1,3.04,8.9,0
0.5,0.9982,3.01,9.2,0
0.34,0.9968,3.22,9.1,0
0.34,0.9968,3.22,9.1,0
0,0.994,3.63,9.7,0
0.24,0.9914,3.31,11.3,1
0.4,0.9911,3.19,11.8,1
0.5,0.9982,3.01,9.2,0
0.48,0.9982,3.04,9.2,0
0.04,0.9934,3.22,10.2,0
0.32,0.9984,3.01,8.8,0
0.31,0.9952,3.29,9.7,0
0.28,0.9952,3.29,9.1,1
0.47,0.9928,3.21,9.8,1
0.36,0.9912,3.27,11,1
0.23,0.994,3.14,10.5,0
0.32,0.9958,3.45,9.7,1
0.56,0.9924,3.3,10.9,1
0.56,0.9924,3.31,10.9,1
0.25,0.994,3.39,10.6,0
0.32,0.9958,3.45,9.7,1
0.4,0.9979,3.23,9,0
0.27,0.9982,3.24,9.2,0
0.22,0.9961,3.19,8.9,0
0.31,0.9979,3.26,9.6,0
0.4,0.992,3.12,10.7,1
0.67,0.9975,3.16,8.7,0
0.36,0.9917,3.15,10.8,1
0.39,0.9923,,11.8,1
0.34,0.9927,3.3,10.2,0
0.67,0.9975,3.16,8.7,0
0.4,0.992,3.21,10.8,1
0.41,0.9947,3.18,9.7,1
0.4,0.9921,3.12,11.2,1
0.37,0.9905,3,10.9,1
0.27,0.9918,3.28,10.1,1
0.14,0.9951,3.38,9,0
0.33,0.9917,3.38,12,1
0.3,0.994,2.99,9.4,1
0.38,0.9934,3.12,11.5,1
0.46,0.9968,3.14,9.9,1
0.3,0.994,2.99,9.4,1
0.41,0.9919,3.14,10.4,0
0.4,0.9966,3.06,9.7,1
0.42,0.9979,2.89,8.9,1
0.42,0.9979,2.89,8.9,1
0.24,0.9898,3.29,12.4,1
0.04,0.9894,3.36,12.1,1
0.04,0.9894,3.36,12.1,1
0.24,0.9898,3.29,12.4,1
0.56,0.998,2.98,9.1,0
0.3,0.9932,3.28,10.6,0
0.42,0.9979,2.89,8.9,1
0.35,0.997,3.15,9.5,0
0.36,0.9972,3.16,9.8,0
0.46,0.9974,3.14,9.6,1
